city_name,ZAPSANI_VOLICI,UCAST_PROC,P1_HLASY,P1_PROC,P2_HLASY,P2_PROC,P3_HLASY,P3_PROC,P4_HLASY,P4_PROC,P5_HLASY,P5_PROC,P6_HLASY,P6_PROC,P7_HLASY,P7_PROC,P8_HLASY,P8_PROC,P9_HLASY,P9_PROC,P10_HLASY,P10_PROC,P11_HLASY,P11_PROC,P12_HLASY,P12_PROC,P13_HLASY,P13_PROC,P14_HLASY,P14_PROC,P15_HLASY,P15_PROC,P16_HLASY,P16_PROC,P17_HLASY,P17_PROC,P18_HLASY,P18_PROC,P19_HLASY,P19_PROC,P20_HLASY,P20_PROC,P21_HLASY,P21_PROC,P22_HLASY,P22_PROC,P23_HLASY,P23_PROC,P24_HLASY,P24_PROC,P25_HLASY,P25_PROC,P26_HLASY,P26_PROC,population,Praha,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,Pardubice,Zlín,České Budějovice,Jihlava,Karlovy Vary
Chodov,10162,55.86,0,0.0,0,0.0,7,0.12,19,0.34,4,0.07,569,10.19,8,0.14,49,0.87,1,0.01,11,0.19,685,12.27,23,0.41,0,0.0,7,0.12,21,0.37,281,5.03,0,0.0,4,0.07,0,0.0,403,7.21,0,0.0,2693,48.24,582,10.42,0,0.0,203,3.63,12,0.21,12609,205.0,381.0,428.0,131.0,268.0,363.0,129.0,328.0,280.0,425.0,258.0,398.0,10.0
Chomutov,35303,57.39,0,0.0,0,0.0,5,0.02,18,0.08,12,0.05,1860,9.28,31,0.15,198,0.98,7,0.03,54,0.26,2839,14.16,51,0.25,0,0.0,41,0.2,62,0.3,1431,7.14,0,0.0,14,0.06,0,0.0,1227,6.12,0,0.0,9175,45.79,1927,9.61,0,0.0,1060,5.29,24,0.11,46771,140.0,316.0,339.0,137.0,203.0,276.0,64.0,263.0,204.0,364.0,259.0,312.0,53.0
Chrudim,17642,70.13,0,0.0,0,0.0,15,0.12,12,0.09,8,0.06,905,7.39,19,0.15,138,1.12,2,0.01,31,0.25,3331,27.2,27,0.22,0,0.0,4,0.03,56,0.45,983,8.02,0,0.0,8,0.06,0,0.0,819,6.68,0,0.0,3919,32.0,1419,11.58,0,0.0,523,4.27,26,0.21,23564,85.0,125.0,167.0,191.0,189.0,112.0,178.0,38.0,17.0,170.0,195.0,129.0,443.0
Domažlice,7967,63.47,0,0.0,0,0.0,4,0.08,3,0.06,3,0.06,493,9.9,11,0.22,56,1.12,3,0.06,2,0.04,1079,21.67,10,0.2,0,0.0,1,0.02,14,0.28,326,6.55,14,0.28,9,0.18,0,0.0,356,7.15,0,0.0,1836,36.88,492,9.88,0,0.0,260,5.22,5,0.1,11133,172.0,318.0,367.0,46.0,368.0,288.0,221.0,265.0,216.0,419.0,199.0,321.0,242.0
Dvůr Králové nad Labem,12111,68.19,0,0.0,0,0.0,5,0.06,11,0.13,7,0.08,603,7.39,29,0.35,77,0.94,5,0.06,22,0.26,1954,23.96,0,0.0,0,0.0,19,0.23,30,0.36,690,8.46,22,0.26,3,0.03,0,0.0,583,7.14,0,0.0,2824,34.62,938,11.5,0,0.0,326,3.99,7,0.08,15322,124.0,165.0,209.0,236.0,115.0,131.0,220.0,27.0,48.0,215.0,237.0,200.0,356.0
Děčín,37128,62.03,0,0.0,0,0.0,23,0.1,24,0.1,13,0.05,2154,9.49,27,0.11,252,1.11,9,0.03,47,0.2,3414,15.04,59,0.26,0,0.0,14,0.06,84,0.37,1515,6.67,0,0.0,18,0.07,0,0.0,1498,6.6,0,0.0,9549,42.08,2993,13.19,0,0.0,975,4.29,22,0.09,46376,107.0,283.0,285.0,181.0,101.0,257.0,15.0,223.0,159.0,342.0,214.0,241.0,142.0
Frenštát pod Radhoštěm,8466,69.53,9,0.15,15,0.25,3,0.05,9,0.15,1,0.01,565,9.69,16,0.27,48,0.82,4,0.06,13,0.22,1327,22.76,21,0.36,0,0.0,4,0.06,22,0.37,502,8.61,10,0.17,2,0.03,0,0.0,343,5.88,0,0.0,2148,36.85,488,8.37,0,0.0,267,4.58,11,0.18,10554,239.0,192.0,75.0,333.0,427.0,90.0,317.0,212.0,176.0,141.0,372.0,355.0,481.0
Frýdek-Místek,42675,65.53,50,0.18,77,0.27,25,0.09,27,0.09,11,0.03,2270,8.24,64,0.23,307,1.11,19,0.06,73,0.26,4993,18.12,66,0.23,0,0.0,9,0.03,132,0.47,2083,7.56,30,0.1,12,0.04,0,0.0,1728,6.27,0,0.0,11849,43.01,2077,7.53,0,0.0,1605,5.82,41,0.14,53590,233.0,175.0,33.0,324.0,379.0,95.0,311.0,198.0,170.0,153.0,355.0,338.0,463.0
Havlíčkův Brod,17372,71.26,0,0.0,0,0.0,12,0.09,61,0.49,4,0.03,814,6.64,21,0.17,157,1.28,5,0.04,29,0.23,3384,27.6,0,0.0,0,0.0,18,0.14,81,0.66,945,7.7,0,0.0,8,0.06,0,0.0,722,5.89,0,0.0,4223,34.45,1119,9.12,0,0.0,634,5.17,20,0.16,23791,114.0,99.0,249.0,216.0,232.0,188.0,192.0,135.0,111.0,211.0,167.0,19.0,343.0
Havířov,55915,60.4,51,0.15,35,0.1,37,0.11,23,0.06,22,0.06,2949,8.84,77,0.23,317,0.95,24,0.07,90,0.26,4618,13.84,72,0.21,0,0.0,17,0.05,133,0.39,2077,6.22,39,0.11,10,0.02,0,0.0,2018,6.05,0,0.0,16726,50.16,2048,6.14,0,0.0,1913,5.73,47,0.14,68674,212.0,165.0,19.0,324.0,328.0,86.0,311.0,200.0,154.0,134.0,330.0,308.0,453.0
