city_name,ZAPSANI_VOLICI,UCAST_PROC,P1_HLASY,P1_PROC,P2_HLASY,P2_PROC,P3_HLASY,P3_PROC,P4_HLASY,P4_PROC,P5_HLASY,P5_PROC,P6_HLASY,P6_PROC,P7_HLASY,P7_PROC,P8_HLASY,P8_PROC,P9_HLASY,P9_PROC,P10_HLASY,P10_PROC,P11_HLASY,P11_PROC,P12_HLASY,P12_PROC,P13_HLASY,P13_PROC,P14_HLASY,P14_PROC,P15_HLASY,P15_PROC,P16_HLASY,P16_PROC,P17_HLASY,P17_PROC,P18_HLASY,P18_PROC,P19_HLASY,P19_PROC,P20_HLASY,P20_PROC,P21_HLASY,P21_PROC,P22_HLASY,P22_PROC,P23_HLASY,P23_PROC,P24_HLASY,P24_PROC,P25_HLASY,P25_PROC,P26_HLASY,P26_PROC,population,Praha,Brno,Ostrava,Plzeň,Liberec,Olomouc,Ústí nad Labem,Hradec Králové,Pardubice,Zlín,České Budějovice,Jihlava,Karlovy Vary
Tachov,8721,64.53,0,0.0,0,0.0,4,0.07,3,0.05,8,0.14,606,10.86,16,0.28,72,1.29,0,0.0,7,0.12,824,14.77,23,0.41,0,0.0,0,0.0,17,0.3,377,6.76,8,0.14,4,0.07,0,0.0,384,6.88,0,0.0,2411,43.23,476,8.53,0,0.0,329,5.9,7,0.12,14097,160.0,347.0,370.0,77.0,381.0,307.0,265.0,276.0,235.0,373.0,192.0,336.0,99.0
Teplice,38247,59.2,0,0.0,0,0.0,13,0.05,25,0.11,9,0.04,2023,9.04,57,0.25,214,0.95,8,0.03,77,0.34,4278,19.12,61,0.27,0,0.0,16,0.07,93,0.41,1957,8.74,0,0.0,15,0.06,0,0.0,1374,6.14,0,0.0,9390,41.98,1895,8.47,0,0.0,819,3.66,43,0.19,50912,92.0,268.0,291.0,187.0,155.0,228.0,16.0,215.0,167.0,316.0,222.0,253.0,102.0
Turnov,11141,70.95,15,0.19,0,0.0,17,0.21,7,0.08,4,0.05,589,7.53,15,0.19,59,0.75,2,0.02,20,0.25,1897,24.25,0,0.0,0,0.0,4,0.05,29,0.37,686,8.77,0,0.0,1,0.01,0,0.0,522,6.67,0,0.0,2112,27.0,1554,19.87,0,0.0,276,3.52,11,0.14,14577,107.0,215.0,264.0,233.0,33.0,195.0,150.0,104.0,114.0,293.0,245.0,218.0,300.0
Tábor,26132,68.52,30,0.17,0,0.0,9,0.05,15,0.08,10,0.05,1367,7.76,26,0.14,167,0.94,12,0.06,58,0.32,4226,23.99,45,0.25,0,0.0,9,0.05,118,0.66,1779,10.09,27,0.15,7,0.03,0,0.0,1091,6.19,0,0.0,5774,32.78,1921,10.9,0,0.0,903,5.12,20,0.11,34356,60.0,225.0,271.0,153.0,231.0,202.0,160.0,162.0,124.0,270.0,36.0,136.0,287.0
Třebíč,27219,70.73,0,0.0,0,0.0,14,0.07,33,0.17,4,0.02,1620,8.5,53,0.27,214,1.12,7,0.03,39,0.2,4522,23.75,0,0.0,0,0.0,34,0.17,75,0.39,1555,8.16,0,0.0,23,0.12,0,0.0,1244,6.53,0,0.0,6642,34.88,1972,10.35,0,0.0,939,4.93,48,0.25,34530,193.0,62.0,242.0,295.0,363.0,182.0,271.0,224.0,183.0,209.0,182.0,50.0,474.0
Třinec,27183,61.66,33,0.19,19,0.11,15,0.09,15,0.09,7,0.04,1493,9.0,52,0.31,189,1.13,6,0.03,51,0.3,3074,18.53,41,0.24,0,0.0,11,0.06,73,0.44,1129,6.8,13,0.07,6,0.03,0,0.0,1106,6.66,0,0.0,7192,43.36,1179,7.1,0,0.0,846,5.1,33,0.19,33852,250.0,205.0,40.0,339.0,394.0,107.0,325.0,213.0,184.0,165.0,386.0,333.0,477.0
Uherské Hradiště,19912,68.21,0,0.0,30,0.22,8,0.05,10,0.07,11,0.08,984,7.32,31,0.23,146,1.08,5,0.03,19,0.14,3694,27.49,44,0.32,0,0.0,5,0.03,38,0.28,1301,9.68,25,0.18,4,0.02,0,0.0,741,5.51,0,0.0,4048,30.13,1597,11.88,0,0.0,683,5.08,9,0.06,24887,204.0,89.0,103.0,298.0,353.0,60.0,314.0,186.0,141.0,45.0,311.0,211.0,407.0
Uherský Brod,13026,69.01,0,0.0,6,0.06,11,0.12,3,0.03,7,0.07,718,8.07,18,0.2,86,0.96,4,0.04,22,0.24,2512,28.26,27,0.3,0,0.0,8,0.09,34,0.38,661,7.43,11,0.12,2,0.02,0,0.0,590,6.63,0,0.0,2910,32.74,870,9.78,0,0.0,382,4.29,5,0.05,16367,244.0,139.0,120.0,319.0,374.0,81.0,343.0,197.0,178.0,70.0,392.0,259.0,459.0
Uničov,8847,66.93,0,0.0,14,0.23,4,0.06,5,0.08,5,0.08,497,8.47,10,0.17,76,1.29,3,0.05,9,0.15,1133,19.32,17,0.29,0,0.0,3,0.05,26,0.44,432,7.36,16,0.27,2,0.03,0,0.0,363,6.19,0,0.0,2332,39.78,561,9.57,0,0.0,348,5.93,6,0.1,11237,168.0,158.0,92.0,262.0,317.0,21.0,276.0,140.0,105.0,99.0,270.0,283.0,371.0
Valašské Meziříčí,17145,67.55,0,0.0,21,0.18,12,0.1,10,0.08,12,0.1,971,8.48,23,0.2,89,0.77,2,0.01,25,0.21,2793,24.39,23,0.2,0,0.0,6,0.05,57,0.49,897,7.83,11,0.09,7,0.06,0,0.0,708,6.18,0,0.0,4164,36.36,1096,9.57,0,0.0,507,4.42,16,0.13,22580,189.0,151.0,86.0,288.0,348.0,51.0,278.0,162.0,136.0,95.0,292.0,294.0,402.0
Varnsdorf,11688,61.47,0,0.0,0,0.0,2,0.02,12,0.16,2,0.02,786,11.07,9,0.12,72,1.01,3,0.04,34,0.47,841,11.84,13,0.18,0,0.0,4,0.05,29,0.4,336,4.73,0,0.0,0,0.0,0,0.0,524,7.38,0,0.0,3173,44.69,933,13.14,0,0.0,319,4.49,7,0.09,14704,191.0,318.0,360.0,297.0,78.0,298.0,99.0,229.0,217.0,422.0,298.0,321.0,226.0
Velké Meziříčí,8855,71.28,0,0.0,0,0.0,4,0.06,5,0.08,2,0.03,488,7.8,10,0.16,81,1.29,1,0.01,7,0.11,1327,21.23,0,0.0,0,0.0,5,0.08,20,0.32,422,6.75,0,0.0,5,0.08,0,0.0,416,6.65,0,0.0,2108,33.73,1063,17.01,0,0.0,276,4.41,9,0.14,11608,191.0,82.0,266.0,293.0,307.0,189.0,270.0,216.0,174.0,228.0,246.0,97.0,423.0
Veselí nad Moravou,8822,67.13,0,0.0,11,0.18,12,0.2,1,0.01,5,0.08,572,9.75,20,0.34,61,1.04,2,0.03,13,0.22,1370,23.36,18,0.3,0,0.0,2,0.03,21,0.35,417,7.11,10,0.17,6,0.1,0,0.0,289,4.92,0,0.0,2313,39.45,412,7.02,4,0.06,299,5.09,5,0.08,10623,242.0,92.0,123.0,357.0,406.0,88.0,339.0,206.0,175.0,67.0,354.0,247.0,482.0
Vlašim,8825,67.9,5,0.08,0,0.0,2,0.03,12,0.2,1,0.01,506,8.51,11,0.18,62,1.04,3,0.05,11,0.18,1175,19.78,10,0.16,0,0.0,3,0.05,37,0.62,426,7.17,6,0.1,8,0.13,0,0.0,420,7.07,0,0.0,2264,38.12,708,11.92,5,0.08,259,4.36,5,0.08,11434,80.0,236.0,294.0,188.0,243.0,229.0,172.0,173.0,141.0,317.0,119.0,208.0,297.0
Vrchlabí,9402,68.12,0,0.0,0,0.0,1,0.01,10,0.15,5,0.07,513,8.09,9,0.14,70,1.1,6,0.09,15,0.23,1561,24.62,0,0.0,0,0.0,8,0.12,35,0.55,602,9.49,21,0.33,5,0.07,0,0.0,453,7.14,0,0.0,1732,27.32,1056,16.66,0,0.0,231,3.64,5,0.07,12102,177.0,248.0,313.0,297.0,128.0,214.0,273.0,110.0,130.0,330.0,314.0,282.0,422.0
Vsetín,19766,65.21,0,0.0,15,0.11,10,0.07,13,0.1,5,0.03,1206,9.46,23,0.18,117,0.91,9,0.07,28,0.21,3321,26.06,42,0.32,0,0.0,5,0.03,64,0.5,1003,7.87,23,0.18,7,0.05,0,0.0,773,6.06,0,0.0,4269,33.5,1105,8.67,0,0.0,692,5.43,11,0.08,25185,112.0,171.0,94.0,306.0,386.0,69.0,290.0,433.0,149.0,127.0,589.0,317.0,439.0
Vysoké Mýto,9146,70.86,0,0.0,0,0.0,10,0.15,16,0.25,8,0.12,542,8.49,11,0.17,78,1.22,7,0.1,13,0.2,1623,25.44,12,0.18,0,0.0,3,0.04,23,0.36,559,8.76,0,0.0,5,0.07,0,0.0,436,6.83,0,0.0,2070,32.45,708,11.09,0,0.0,248,3.88,7,0.1,12560,102.0,121.0,163.0,237.0,230.0,85.0,221.0,84.0,39.0,156.0,238.0,201.0,340.0
Vyškov,16210,68.88,0,0.0,35,0.31,7,0.06,15,0.13,4,0.03,953,8.63,18,0.16,130,1.17,7,0.06,12,0.1,2420,21.92,27,0.24,0,0.0,1,0.0,35,0.31,957,8.66,8,0.07,2,0.01,0,0.0,714,6.46,0,0.0,4097,37.11,907,8.21,12,0.1,658,5.96,21,0.19,20645,206.0,39.0,120.0,297.0,315.0,52.0,300.0,191.0,145.0,105.0,315.0,172.0,427.0
Zlín,58302,70.26,0,0.0,49,0.12,33,0.08,26,0.06,40,0.09,3238,7.98,56,0.13,387,0.95,9,0.02,70,0.17,11305,27.89,138,0.34,0,0.0,12,0.02,157,0.38,3855,9.51,51,0.12,11,0.02,0,0.0,2590,6.38,0,0.0,12447,30.7,4515,11.13,0,0.0,1500,3.7,45,0.11,74684,210.0,106.0,102.0,305.0,362.0,60.0,321.0,175.0,150.0,0.0,331.0,261.0,416.0
Znojmo,26569,65.83,0,0.0,36,0.2,11,0.06,12,0.06,9,0.05,1529,8.83,35,0.2,194,1.12,12,0.06,43,0.24,3578,20.67,42,0.24,0,0.0,9,0.05,66,0.38,1328,7.67,16,0.09,5,0.02,0,0.0,991,5.72,0,0.0,6940,40.09,1521,8.78,15,0.08,894,5.16,23,0.13,34172,281.0,129.0,245.0,394.0,415.0,168.0,382.0,267.0,224.0,148.0,257.0,102.0,475.0
Zábřeh,10559,69.11,0,0.0,8,0.11,3,0.04,8,0.11,4,0.05,677,9.38,18,0.24,86,1.19,2,0.02,16,0.22,1382,19.14,26,0.36,0,0.0,3,0.04,27,0.37,469,6.49,14,0.19,3,0.04,0,0.0,481,6.66,0,0.0,2903,40.22,697,9.65,0,0.0,379,5.25,11,0.15,13320,114.0,99.0,86.0,205.0,220.0,35.0,209.0,99.0,52.0,83.0,226.0,232.0,313.0
Ústí nad Labem,69027,59.34,0,0.0,0,0.0,37,0.09,48,0.11,17,0.04,3385,8.36,69,0.17,572,1.41,25,0.06,92,0.22,6634,16.39,94,0.23,0,0.0,31,0.07,174,0.43,3751,9.27,0,0.0,38,0.09,0,0.0,2536,6.26,0,0.0,16674,41.21,4514,11.15,0,0.0,1705,4.21,59,0.14,90866,70.0,246.0,269.0,165.0,119.0,206.0,0.0,189.0,134.0,272.0,197.0,221.0,119.0
